Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-0.88,-2.28,11.57,-147.71,-18.88,20.82,300,38,D
-1.07,-3.26,12.13,-111.05,2.82,13.95,350,38,D
-1.02,-3.54,12.25,-74.67,-5.77,12.21,400,38,D
-1.25,-3.55,11.02,-51.19,23.13,14.04,450,38,D
0.42,4.96,2.39,30.91,6.64,-9.42,0,39,D
-0.82,5.07,3.18,-6.49,18.40,-29.54,50,39,D
-0.63,6.04,5.01,-41.35,-3.75,-41.27,100,39,D
-0.94,5.50,5.65,-59.02,4.39,-51.84,150,39,D
-2.01,5.63,6.55,-73.48,19.55,-55.09,200,39,D
-2.76,4.87,5.76,-103.17,47.18,-54.79,250,39,D
-3.65,3.89,6.82,-131.77,20.11,-49.64,300,39,D
-3.15,3.49,8.84,-131.90,-55.54,-19.10,350,39,D
-2.75,1.86,9.77,-124.18,-13.76,-19.45,400,39,D
-3.24,1.07,10.70,-107.12,-20.01,-12.83,450,39,D
-3.08,4.85,3.55,-98.27,9.06,-50.41,0,40,D
-4.05,4.18,6.21,-125.75,-13.91,-47.05,50,40,D
-3.36,4.09,6.35,-136.40,-15.93,-50.48,100,40,D
-4.56,2.99,10.21,-131.87,-101.14,-29.72,150,40,D
-3.11,2.02,10.37,-131.71,-89.18,9.99,200,40,D
-1.84,1.03,12.29,-115.92,-21.64,4.86,250,40,D
-0.33,0.12,11.97,-73.07,19.37,-3.93,300,40,D
-2.06,-0.51,9.88,-33.04,58.31,-18.13,350,40,D
-3.02,-0.28,11.85,-18.78,60.25,-23.40,400,40,D
-3.10,-0.29,11.15,-14.18,67.89,-12.87,450,40,D
-1.85,6.07,5.16,-30.04,9.13,-33.24,0,41,D
-2.55,6.07,4.99,-49.61,14.81,-37.59,50,41,D
-2.61,5.56,4.95,-70.36,6.99,-40.77,100,41,D
-3.55,4.49,6.65,-81.50,-5.14,-40.77,150,41,D
-3.69,4.21,7.27,-84.72,11.32,-41.12,200,41,D
-4.32,3.49,8.27,-84.16,21.04,-35.87,250,41,D
